
Sync-Point 0, Time: 0.015625, Redshift: 63, Nf = 0016777216, Systemstep: 0, Dloga: 0
Sync-Point 64, Time: 0.0685268, Redshift: 13.5928, Nf = 0000394853, Systemstep: 0.000554376, Dloga: 0.00812282

Sync-Point 65, Time: 0.0690857, Redshift: 13.4748, Nf = 0000000006, Systemstep: 0.000558898, Dloga: 0.00812282

Sync-Point 66, Time: 0.0696492, Redshift: 13.3577, Nf = 0016777216, Systemstep: 0.000563456, Dloga: 0.00812282

Sync-Point 67, Time: 0.0702172, Redshift: 13.2415, Nf = 0000000007, Systemstep: 0.000568052, Dloga: 0.00812282

Sync-Point 68, Time: 0.0707899, Redshift: 13.1263, Nf = 0000520069, Systemstep: 0.000572685, Dloga: 0.00812282

Sync-Point 69, Time: 0.0713673, Redshift: 13.012, Nf = 0000000010, Systemstep: 0.000577355, Dloga: 0.00812282

Sync-Point 70, Time: 0.0719493, Redshift: 12.8987, Nf = 0016777216, Systemstep: 0.000582064, Dloga: 0.00812282

Sync-Point 71, Time: 0.0725361, Redshift: 12.7862, Nf = 0000000019, Systemstep: 0.000586811, Dloga: 0.00812282

Sync-Point 72, Time: 0.0731277, Redshift: 12.6747, Nf = 0000671908, Systemstep: 0.000591597, Dloga: 0.00812282

Sync-Point 73, Time: 0.0737242, Redshift: 12.5641, Nf = 0000000025, Systemstep: 0.000596422, Dloga: 0.00812282

Sync-Point 74, Time: 0.0743254, Redshift: 12.4543, Nf = 0016777216, Systemstep: 0.000601287, Dloga: 0.00812282

Sync-Point 75, Time: 0.0749316, Redshift: 12.3455, Nf = 0000000039, Systemstep: 0.000606191, Dloga: 0.00812282

Sync-Point 76, Time: 0.0755428, Redshift: 12.2375, Nf = 0000851108, Systemstep: 0.000611135, Dloga: 0.00812282

Sync-Point 77, Time: 0.0761589, Redshift: 12.1304, Nf = 0000000047, Systemstep: 0.000616119, Dloga: 0.00812282

Sync-Point 78, Time: 0.07678, Redshift: 12.0242, Nf = 0016777216, Systemstep: 0.000621144, Dloga: 0.00812282

Sync-Point 79, Time: 0.0774062, Redshift: 11.9189, Nf = 0000000074, Systemstep: 0.00062621, Dloga: 0.00812282

Sync-Point 80, Time: 0.0780376, Redshift: 11.8143, Nf = 0001060781, Systemstep: 0.000631317, Dloga: 0.00812282

Sync-Point 81, Time: 0.078674, Redshift: 11.7107, Nf = 0000000111, Systemstep: 0.000636466, Dloga: 0.00812282

Sync-Point 82, Time: 0.0793157, Redshift: 11.6078, Nf = 0016777216, Systemstep: 0.000641657, Dloga: 0.00812282

Sync-Point 83, Time: 0.0799626, Redshift: 11.5059, Nf = 0000000141, Systemstep: 0.000646891, Dloga: 0.00812282

Sync-Point 84, Time: 0.0806147, Redshift: 11.4047, Nf = 0001302886, Systemstep: 0.000652167, Dloga: 0.00812282

Sync-Point 85, Time: 0.0812722, Redshift: 11.3043, Nf = 0000000195, Systemstep: 0.000657486, Dloga: 0.00812282

Sync-Point 86, Time: 0.0819351, Redshift: 11.2048, Nf = 0016777216, Systemstep: 0.000662848, Dloga: 0.00812282

Sync-Point 87, Time: 0.0826033, Redshift: 11.106, Nf = 0000000255, Systemstep: 0.000668254, Dloga: 0.00812282

Sync-Point 88, Time: 0.083277, Redshift: 11.0081, Nf = 0001577008, Systemstep: 0.000673704, Dloga: 0.00812282

Sync-Point 89, Time: 0.0839562, Redshift: 10.911, Nf = 0000000339, Systemstep: 0.000679199, Dloga: 0.00812282

Sync-Point 90, Time: 0.084641, Redshift: 10.8146, Nf = 0016777216, Systemstep: 0.000684738, Dloga: 0.00812282

Sync-Point 91, Time: 0.0853313, Redshift: 10.719, Nf = 0000000468, Systemstep: 0.000690323, Dloga: 0.00812282

Sync-Point 92, Time: 0.0860272, Redshift: 10.6242, Nf = 0001885347, Systemstep: 0.000695953, Dloga: 0.00812282

Sync-Point 93, Time: 0.0867289, Redshift: 10.5302, Nf = 0000000609, Systemstep: 0.000701629, Dloga: 0.00812282

Sync-Point 94, Time: 0.0874362, Redshift: 10.4369, Nf = 0016777216, Systemstep: 0.000707352, Dloga: 0.00812282

Sync-Point 95, Time: 0.0881494, Redshift: 10.3444, Nf = 0000000807, Systemstep: 0.000713121, Dloga: 0.00812282

Sync-Point 96, Time: 0.0888683, Redshift: 10.2526, Nf = 0002226456, Systemstep: 0.000718937, Dloga: 0.00812282

Sync-Point 97, Time: 0.0895931, Redshift: 10.1616, Nf = 0000001051, Systemstep: 0.000724801, Dloga: 0.00812282

Sync-Point 98, Time: 0.0903238, Redshift: 10.0713, Nf = 0016777216, Systemstep: 0.000730712, Dloga: 0.00812282

Sync-Point 99, Time: 0.0910605, Redshift: 9.98171, Nf = 0000001367, Systemstep: 0.000736672, Dloga: 0.00812282

Sync-Point 100, Time: 0.0918032, Redshift: 9.89287, Nf = 0002600559, Systemstep: 0.00074268, Dloga: 0.00812282

Sync-Point 101, Time: 0.0925519, Redshift: 9.80475, Nf = 0000001849, Systemstep: 0.000748737, Dloga: 0.00812282

Sync-Point 102, Time: 0.0933067, Redshift: 9.71734, Nf = 0016777216, Systemstep: 0.000754844, Dloga: 0.00812282

Sync-Point 103, Time: 0.0940677, Redshift: 9.63064, Nf = 0000002497, Systemstep: 0.000761, Dloga: 0.00812282

Sync-Point 104, Time: 0.0948349, Redshift: 9.54464, Nf = 0003003474, Systemstep: 0.000767207, Dloga: 0.00812282

Sync-Point 105, Time: 0.0956084, Redshift: 9.45933, Nf = 0000003086, Systemstep: 0.000773464, Dloga: 0.00812282

Sync-Point 106, Time: 0.0959975, Redshift: 9.41694, Nf = 0000000001, Systemstep: 0.000389094, Dloga: 0.00406141

Sync-Point 107, Time: 0.0963882, Redshift: 9.37472, Nf = 0016777216, Systemstep: 0.000390678, Dloga: 0.00406141

